Title,Latitude,Longitude,Address,Category,Status,Completion Date,Storeys,Height in ft
Terrace on the Danforth,43.694707,-79.2727533,"3520 Danforth Ave, Toronto","Condo, Retail",Complete,2013,7,0
Centennial College Library and Academic Facility,43.7729237,-79.2728832,"959 Progress Ave., Toronto",Institutional,Complete,"August, 2011",4,0
Centennial College Residence and Culinary Arts Centre,43.7729237,-79.2728832,"945 Progress Avenue, Toronto",Institutional,Under Construction,"Summer, 2016",8,0
Residences at The Hunt Club,43.68570842,-79.2741855,"1350 Kingston Road, Toronto ",Condo,Under Construction,0,9,103
Hunt Club Terrace Condos,43.6854361,-79.2745805,"1340 Kingston Road, Toronto","Condo, Retail",Complete,0,6,0
1316 Kingston Road,43.6849538,-79.2752683,"1316 Kingston Road, Scarborough","Condo, Retail",Pre-Construction,0,7,0
23 Glen Watford Drive,43.78758947,-79.27606127,"23 Glen Watford Drive, Toronto","Condo, Residential, Retail",Pre-Construction,0,28,0
25 Glen Watford,43.78771903,-79.27611874,"25 Glen Watford Dr, Scarborough","Rental, Residential",Pre-Construction,0,11,142
Spice Urban Towns,43.6947306,-79.2762059,"35 Danforth Road, Toronto","Condo, Townhouse",Pre-Construction,"September, 2017",4,52
"Tree House, The",43.6883687,-79.27913857,"2535 Gerrard St E, Scarborough","Condo, Townhouse",On-Hold,0,4,0
3359 Danforth Avenue ,43.6929391,-79.2799295,"3359 Danforth Avenue, Toronto",Condo,Pre-Construction,0,6,0
Solaris at Metrogate Condos,43.7774165,-79.2812115,"125 Village Green Sq, Toronto",Condo,Complete,2012,40,0
3258 Danforth Avenue ,43.69287693,-79.28149001,"3258 Danforth Avenue, Toronto ","Co-op, Retail",Pre-Construction,0,8,81
Avani and Avani2 at Metrogate Condos,43.7781607,-79.2815201,"255 Village Green Sq, Toronto",Condo,Under Construction,0,35,345
Selene at Metrogate,43.7781607,-79.2815201,"225 Village Green Square, Scarborough",Condo,Pre-Construction,0,31,316
Ventus at Metrogate Condos,43.7792065,-79.28157696,"181 Village Green Sq, Toronto",Condo,Complete,2013,30,0
55 Sheppard East (DEAD),43.7846533,-79.2819289,"55 Sheppard Avenue East, Toronto","Condo, Office, Retail",Pre-Construction,0,14,149
88 Condos (Ei8hty8 Condos),43.7846533,-79.2819289,"88 Sheppard Avenue East, Toronto",Condo,Under Construction,2015,35,0
Kingston&Co Condominiums,43.681203,-79.28262904,"1092 Kingston Road, Scarborough","Condo, Retail",Under Construction,"November, 2016",10,126
The Kennedys Condominiums & Hotel,43.7772435,-79.28268636,"2035 Kennedy Rd, Toronto","Condo, Hotel, Retail",On-Hold,0,40,0
The Landing,43.7772435,-79.28268636,"1606 - 1614 Charles Street, Whitby",Condo,Pre-Construction,0,18,0
The One,43.7772435,-79.28268636,"1 Bloor West, Toronto","Condo, Hotel, Retail",Under Construction,"Early, 2020",85,0
2180 Lawrence East,43.748193,-79.28449731,"2180 Lawrence Avenue East, Toronto","Condo, Townhouse",Pre-Construction,0,21,234
2150 Condos,43.74747941,-79.28555906,"2150 Lawrence Avenue East, Scarborough",Condo,Under Construction,2014,19,0
2150 Condos Phase 2,43.74747941,-79.28555906,"2150 Lawrence Avenue East, Scarborough",Co-op,Pre-Construction,"November, 2016",16,0
2075 Kennedy,43.7784829,-79.2857801,"2075 Kennedy Road, Toronto","Condo, Office, Public Space, Retail",Pre-Construction,0,39,411
Cowdray Court,43.7801375,-79.28580589,"20 Cowdray Court, Toronto","Condo, Office, Public Space",Pre-Construction,0,40,0
1920 Eglinton East,43.7275015,-79.2900827,"1920-1940 Eglinton Avenue East, Toronto","Condo, Office, Retail",Pre-Construction,0,40,0
Joy Condos,43.78595856,-79.2912378,"195 Bonis Avenue, Toronto","Condo, Townhouse",Pre-Construction,"October, 2018",20,0
Love Condos,43.78605897,-79.2916022,"185 Bonis Ave., Scarborough",Condo,Complete,2014,22,222
Lower Don Lands Redevelopment,43.78605897,-79.2916022,"Cherry St & Villiers St, Toronto",Public Space,Under Construction,0,0,0
Agincourt Mall Redevelopment,43.7840945,-79.29288202,"3850 Sheppard Av E, Scarborough","Public Space, Residential, Retail",Pre-Construction,0,0,0
The Winthorpe Modern,43.6770473,-79.294878,"69 Winthorpe Road, Toronto","Condo, Townhouse",Complete,"May, 2017",3,0
"Village by Main Station, The",43.6882653,-79.2956938,"14 Trent Avenue, Toronto",Residential,Under Construction,2018,12,149
10 Dawes,43.687902,-79.29716333,"10 Dawes Road, Toronto","Condo, Public Space, Rental, Retail",Pre-Construction,0,33,0
10 St. Mary,43.687902,-79.29716333,"10 St. Mary, Toronto","Condo, Retail",Pre-Construction,0,51,0
1891 Eglinton Avenue East,43.7254816,-79.29725,"1891 Eglinton Avenue East, Toronto",Condo,Pre-Construction,0,30,0
1 Eglinton Square,43.723415,-79.298852,"1 Eglinton Square, Toronto","Residential, Retail, Townhouse",Pre-Construction,0,40,0
756 Warden,43.7631007,-79.3010958,"756 Warden Avenue, Toronto","Institutional, Office, Public Space, Retail",Pre-Construction,0,1,39
90 Eastdale,43.6945825,-79.30123198,"90 Eastdale Avenue, Toronto",Rental,Pre-Construction,0,35,0
Lotus Park,43.7226568,-79.302018,"1460 Victoria Park Ave., Toronto","Rental, Retail",Pre-Construction,0,9,102
Lakehouse Beach Residences,43.6697074,-79.3021014,"1960 Queen Street East , Toronto","Condo, Retail",Complete,0,6,0
507-511 Kingston Road ,43.67733444,-79.30272348,"507 Kingston Road, Toronto","Condo, Rental",Pre-Construction,0,7,100
Verve Danforth,43.6880312,-79.3032368,"2494 Danforth Av, Toronto","Rental, Retail",Pre-Construction,0,10,144
1861 O'Connor,43.721132,-79.3039049,"1861 O'Connor Dr, Toronto","Condo, Retail",Pre-Construction,0,10,0
Heartwood - The Beach,43.6689241,-79.3055843,"1884 Queen St E, Toronto",Condo,Under Construction,0,6,0
On The Danforth,43.68697657,-79.30654138,"2359 Danforth Avenue, Toronto",Condo,On-Hold,0,10,0
One Rainsford,43.668601,-79.30682,"1 Rainsford Rd, Toronto","Condo, Retail",Under Construction,2013,6,0
Beach Club Lofts,43.674285,-79.3072468,"303 Kingston Road, Toronto",Condo,Complete,0,6,0
49 Cranfield Road,43.71548616,-79.30913872,"49 Cranfield Rd., Toronto",Industrial,Pre-Construction,0,4,0
Beach Hill Residences,43.6807563,-79.3104763,"1945 Gerrard St E, Toronto",Rental,Complete,0,6,0
Harris Square,43.7787551,-79.3108751,"Lawren Harris Sq & Old Eastern Ave, Toronto",Condo,Under Construction,0,13,165
Pinnacle Toronto East,43.7787551,-79.3108751,"3260 Sheppard Ave East, Scarborough","Condo, Retail",Under Construction,"Summer, 2017",30,0
Pinnacle Toronto East,43.7787551,-79.3108751,"3260 Sheppard Ave East, Scarborough","Condo, Retail",Under Construction,"Summer, 2017",30,0
East 3220 Condos,43.7778802,-79.312314,"3220 Sheppard Avenue East, Toronto ",Condo,Pre-Construction,0,18,0
985 Woodbine,43.686155,-79.31257548,"985 Woodbine Avenue, Toronto","Condo, Rental, Retail",Pre-Construction,0,14,0
Woodbine Station Improvements ,43.6861768,-79.3127915,"991 Woodbine Avenue , Toronto",Transit,Under Construction,"Summer, 2017",1,0
Two Hundred The Beach,43.6861254,-79.312951,"200 Woodbine Ave, Toronto",Condo,Complete,2018,6,0
Carmelina Condos,43.68541146,-79.31338014,"2055-2057 Danforth Avenue, Toronto","Condo, Retail",Under Construction,2014,12,125
WestBeach Condominiums,43.66685855,-79.31520465,"1630 Queen Street East, Toronto",Condo,Under Construction,0,6,0
71 Curlew Drive,43.74305109,-79.31579406,"71 Curlew Drive, Toronto",Condo,Pre-Construction,0,4,0
3268 Finch Avenue East,43.79663682,-79.31680731,"3268 Finch Avenue East, Toronto","Residential, Retail",Pre-Construction,0,12,133
Wish Condos ,43.7764404,-79.3174348,"3105 Sheppard Avenue East, Toronto ",Condo,Pre-Construction,0,18,209
1795 Danforth,43.68424804,-79.31876941,"1795 Danforth Avenue, Toronto","Rental, Retail",Pre-Construction,0,7,0
355 Coxwell ,43.6755907,-79.320207,"355 Coxwell, Toronto",Co-op,Pre-Construction,0,0,68
8 Chichester Place,43.7760424,-79.3204978,"8 Chichester Place, Toronto",Rental,Complete,2013,20,0
Trinity Lofts,43.6635722,-79.320515,"2 Eastern Avenue, Toronto","Condo, Retail",Complete,2012,8,0
2933 Sheppard East,43.77560546,-79.32095284,"2933 Sheppard Avenue East, Toronto","Rental, Retail",Pre-Construction,0,18,193
2933 Sheppard East,43.77560546,-79.32095284,"2933 Sheppard Avenue East, Toronto","Rental, Retail",Pre-Construction,0,18,193
2450 Victoria Park,43.771342,-79.3218941,"2450 Victoria Park Avenue, Toronto",Residential,Pre-Construction,0,44,0
Coxwell Station Improvements ,43.684124,-79.3236894,"355 Strathmore Boulevard, Toronto",Transit,Under Construction,2017,1,0
"Michael Garron Hospital, Toronto East Health Network",43.69005435,-79.32475545,"825 Coxwell Avenue, Toronto","Institutional, Public Space",Pre-Construction,2022,8,0
"George Condos and Towns, Leslieville",43.66393218,-79.32662254,"1331 Queen Street East, Toronto","Condo, Retail, Townhouse",Pre-Construction,0,8,99
Gibson Square Condominiums,43.66393218,-79.32662254,"Yonge and Park Home, Toronto","Condo, Retail",Under Construction,2014,42,0
3050 Pharmacy,43.795614,-79.32744173,"3050 Pharmacy Avenue, Toronto",Rental,Pre-Construction,0,16,0
10 Concorde Place,43.729479,-79.328521,"10 Concorde Place, Toronto",Rental,Pre-Construction,0,39,429
Accolade Condo,43.7250165,-79.32861611,"181 Wynford Dr,, Toronto",Condo,Complete,2010,34,0
Post Loft Condos,43.6633253,-79.32924104,"1249-1251 Queen Street East, Toronto","Condo, Retail",Pre-Construction,0,6,82
"Atria Condos (Alto, Trio, Parfait, Parkside)",43.77482156,-79.33003798,"2205 Sheppard Ave E, Toronto",Condo,Under Construction,0,43,450
Parkside Square,43.774994,-79.3314831,"2135 Sheppard Ave E, Toronto","Rental, Retail",Under Construction,0,43,469
Toronto GM Mobility Campus,43.6597316,-79.3321591,"721 Eastern Avenue, Toronto","Office, Retail",Pre-Construction,0,12,177
Platform Condos (was The Greenwood),43.6812976,-79.3325492,"1177 Danforth Ave, Toronto","Condo, Retail",Pre-Construction,0,9,102
Plaza Midtown,43.6812976,-79.3325492,"25 Holly Street, 50 Dunfield Avenue, Toronto","Condo, Rental",Pre-Construction,0,34,0
Port McNicoll Resort Village & Yacht Club,43.6812976,-79.3325492,"Talbot St & 1 Ave, Port McNicoll",unknown,Under Construction,0,0,0
25 St. Dennis Drive,43.717143,-79.33300171,"25 St. Dennis Drive, Toronto","Rental, Retail",Pre-Construction,0,37,0
1151 Queen East,43.662275,-79.334034,"1151 Queen St E, Toronto","Rental, Retail",Pre-Construction,0,6,72
One6Nine Jones Townhomes ,43.66705858,-79.33446208,"169 Jones Avenue, Toronto",Townhouse,Pre-Construction,0,4,0
St. Leslieville Church Lofts,43.66720754,-79.33452488,"175 Jones Avenue, Toronto",Condo,Complete,"Spring, 2018",4,0
Oben Flats Leslieville,43.6617383,-79.3364256,"1075 Queen Street East, Toronto ","Rental, Retail",Under Construction,"Early, 2016",6,0
StudioCentre,43.6588132,-79.3364786,"629 Eastern Ave, Toronto","Hotel, Office, Public Space, Retail",Pre-Construction,0,0,0
Crosstown LRT: Science Centre Station,43.7198321,-79.3368234,"1185 Eglinton Avenue East, Toronto",Transit,Under Construction,2021,2,0
Sonic and SuperSonic Condos,43.7198321,-79.3368234,"1185 Eglinton Avenue East, North York","Condo, Public Space",Under Construction,2019,30,316
"Soul, Connect, & Vivo Condos at Fairview Park",43.7198321,-79.3368234,"128, 150, 245 Fairview Mall Drive, Toronto","Condo, Residential",Under Construction,2020,18,0
1001 Queen Street East,43.6614266,-79.3378156,"1001 Queen Street East, Toronto ","Condo, Retail",Pre-Construction,0,6,66
135 Fenelon Drive,43.7628895,-79.337959,"135 Fenelon Drive, Toronto","Rental, Retail",Pre-Construction,0,6,0
Sunday School Lofts,43.6804066,-79.339701,"14 Dewhurst Blvd., Toronto",Condo,Pre-Construction,"Spring, 2019",4,0
905 Don Mills Road ,43.728228,-79.34038747,"905 Don Mills Road, Toronto",Residential,Pre-Construction,0,10,0
Printing Factory Lofts,43.6622665,-79.3403979,"201 Carlaw Ave, Toronto",Condo,Complete,2010,8,0
Promenade Mall Revitalization,43.6622665,-79.3403979,"1 Promenade Circle, Thornhill","Hotel, Office, Public Space, Residential, Retail",Pre-Construction,0,35,0
"Taylor, The COMPLETE",43.66523043,-79.34061415,"1220 Dundas St E, Toronto",Condo,Under Construction,0,8,0
354 Pape Avenue,43.66860404,-79.34068873,"354 Pape , Toronto","Condo, Retail",Pre-Construction,0,8,0
Leslieville Lofthouses,43.6621383,-79.340787,"59 Colgate Avenue, Toronto",Condo,Complete,0,4,0
"Carlaw, The",43.6650759,-79.3415091,"345 Carlaw Ave, Toronto",Condo,Under Construction,2015,12,0
"East Yorker Condo, The",43.6907473,-79.3416968,"280 Donlands Ave., Toronto",Condo,Under Construction,2014,12,0
Logan Residences,43.66051509,-79.34189045,"899 Queen St E, Toronto","Condo, Retail",Under Construction,0,6,0
Sugar Wharf Condominiums (Phase 1),43.6530139,-79.3419315,"95 Lake Shore Boulevard East, Toronto","Condo, Retail",Pre-Construction,0,70,755
Sugar Wharf Condominiums (Phase 1),43.6530139,-79.3419315,"95 Lake Shore Boulevard East, Toronto","Condo, Retail",Pre-Construction,0,70,755
Sugar Wharf Condominiums (Phase 2),43.6530139,-79.3419315,"55 Lake Shore Blvd E, Toronto","Condo, Institutional, Public Space, Residential, Retail",Pre-Construction,0,90,0
Sugar Wharf Condominiums (Phase 2),43.6530139,-79.3419315,"55 Lake Shore Blvd E, Toronto","Condo, Institutional, Public Space, Residential, Retail",Pre-Construction,0,90,0
Verdé Condos,43.78099853,-79.34204373,"21 Allenbury Gardens, Toronto",Condo,Pre-Construction,0,24,0
Showcase Lofts,43.6619312,-79.3422,"88 Colgate Ave, Toronto",Condo,Under Construction,2014,7,0
Wynford Green,43.722259,-79.34223276,"844 Don Mills Road, Toronto","Condo, Institutional, Office, Public Space, Rental, Residential, Retail, Townhouse",Pre-Construction,0,44,443
Wonder,43.6577829,-79.342358,"462 Eastern Avenue, Toronto","Condo, Retail",Pre-Construction,0,8,104
Wonder,43.6577829,-79.342358,"462 Eastern Avenue, Toronto","Condo, Retail",Pre-Construction,0,8,104
263 Logan,43.6609366,-79.3424654,"263 Logan Avenue, Toronto",Townhouse,Pre-Construction,0,4,52
875 Queen East,43.660193,-79.3433566,"875 Queen St. E, Toronto","Condo, Retail",Under Construction,0,7,0
Emerald City: The Peak,43.77108915,-79.34421979,"32 Forest Manor Rd, Toronto",Condo,Under Construction,2020,33,350
Parkway Forest Community Centre,43.77198765,-79.34431158,"51 Forest Manor Rd, Toronto",Institutional,Under Construction,2014,2,0
Emerald City: The Point,43.77184303,-79.34451512,"38 Forest Manor Rd, North York",Condo,Under Construction,2020,24,0
Emerald Park Condos,43.77184303,-79.34451512,"Yonge and Bogert Ave, Toronto","Condo, Retail",Under Construction,2015,40,0
"Colours of Emerald City, The",43.7723652,-79.3445747,"52 Forest Manor Rd, Toronto",Condo,Complete,2017,14,0
Emerald City: The Park Club,43.7723652,-79.3445747,"56 Forest Manor Rd, Toronto",Condo,Under Construction,2018,33,351
Emerald City: Fifth on the Park,43.7734386,-79.3447141,"50 Forest Manor Rd, Toronto","Condo, Retail",Under Construction,2018,24,250
Elevate at Logan,43.6666739,-79.3448178,"485 Logan Avenue, Toronto","Condo, Townhouse",Pre-Construction,"Spring, 2022",4,0
Elevate at Logan,43.6666739,-79.3448178,"485 Logan Avenue, Toronto","Condo, Townhouse",Pre-Construction,"Spring, 2022",4,0
Elevate at Logan,43.6666739,-79.3448178,"485 Logan Avenue, Toronto","Condo, Townhouse",Pre-Construction,"Spring, 2022",4,0
794 Gerrard Street East,43.6672693,-79.3450014,"794 Gerrard Street East, ","Condo, Retail",Pre-Construction,0,6,0
Argento Condos,43.7628396,-79.3453792,"18 Graydon Hall Drive, Toronto",Condo,Complete,2015,24,243
Emerald City: Lumina,43.7724205,-79.3455952,"Helen Lu Road, North York","Condo, Retail",Pre-Construction,0,15,0
Liv Lofts,43.73276,-79.34564225,"75 The Donway West, Toronto",Condo,Complete,"Early, 2015",15,0
8 De Grassi,43.66000875,-79.34622358,"8 De Grassi Street, Toronto",Rental,Pre-Construction,0,5,0
169 The Donway,43.73464475,-79.34719502,"169 The Donway, Toronto",Condo,Pre-Construction,0,34,0
East Harbour,43.6517863,-79.3474264,"21 Don Roadway, Toronto","Office, Public Space, Retail, Transit",Pre-Construction,0,0,0
20 Godstone,43.7805635,-79.34751371,"20 Godstone Rd, Toronto",Rental,Pre-Construction,0,14,159
"Seneca College: Centre for Innovation, Technology, and Entrepreneurship (CITE)",43.794219,-79.347542,"1750 Finch Avenue East, Toronto",Institutional,Pre-Construction,2018,5,61
"Seneca College: Centre for Innovation, Technology, and Entrepreneurship (CITE)",43.794219,-79.347542,"1750 Finch Avenue East, Toronto",Institutional,Pre-Construction,2018,5,61
Emerald City Phases 1 to 3 including Dream Tower,43.775559,-79.3475482,"Sheppard Ave. East & Don Mills Road, Toronto","Condo, Townhouse",Under Construction,2014,36,0
763 Queen Street East,43.65921798,-79.34772272,"763 Queen Street East, Toronto",Condo,Pre-Construction,0,5,0
Flaire,43.7350444,-79.3477327,"99 The Donway West, Toronto","Condo, Retail",Under Construction,"Mid, 2017",11,0
2600 Don Mills Road,43.7763855,-79.34839168,"2600 Don Mills Rd, Toronto",Rental,Pre-Construction,0,39,411
1650 Sheppard Avenue East ,43.775101,-79.34905702,"1650 Sheppard Avenue East, Toronto ",Residential,Pre-Construction,0,35,350
"Ninety, The",43.6580066,-79.3496276,"90 Broadview Av, Toronto",Condo,Complete,2012,9,0
Westin Prince Redevelopment,43.7553609,-79.3496892,"900 York Mills Road, Toronto","Condo, Office, Public Space, Retail",Pre-Construction,0,32,0
Westlake,43.7553609,-79.3496892,"Lake Shore Blvd W at Park Lawn Rd, Etobicoke","Condo, Retail, Townhouse",Under Construction,2015,48,503
Auberge On The Park,43.72010077,-79.34977133,"1095 Leslie Street, Toronto",Condo,Pre-Construction,"Summer, 2021",45,0
Auberge On The Park,43.72010077,-79.34977133,"1095 Leslie Street, Toronto",Condo,Pre-Construction,"Summer, 2021",45,0
Underpass Park,43.6568668,-79.3497916,"168 Eastern Av, Toronto",Public Space,Complete,"Mid, 2012",0,0
Broadview Hotel,43.6589488,-79.3501222,"704 Queen Street East, Toronto","Hotel, Retail",Complete,"Mid, 2017",7,94
12-24 Leith Hill,43.77660589,-79.35170603,"12-24 Leith Hill Road, Toronto","Rental, Townhouse",Pre-Construction,0,12,144
Wicksteed Business Park,43.71245796,-79.35182268,"201 Wicksteed Ave, Toronto",Office,Under Construction,0,2,0
Widdicombe & Eglinton Condos,43.71245796,-79.35182268,"Widdicombe Hill & Eglinton, Toronto",Townhouse,Pre-Construction,0,3,0
850 York Mills,43.75469991,-79.35259221,"850 York Mills Road, Toronto","Industrial, Office, Retail",Pre-Construction,0,9,0
Riverside Square,43.6572756,-79.3526119,"77-79 E Don Roadway, Toronto ","Condo, Public Space, Retail",Under Construction,0,20,227
Rocket Condos,43.6572756,-79.3526119,"36 & 36R Tippett Road, Toronto","Condo, Rental",Under Construction,0,14,135
Sync Lofts Condos,43.65836766,-79.35267174,"630 Queen St. E, Toronto",Condo,Complete,2013,8,0
309 Cherry Street ,43.6467823,-79.3534298,"309 Cherry Street, Toronto",Residential,Pre-Construction,0,52,0
Canary Park Condominiums,43.65382235,-79.35446185,"120 Bayview Ave, Toronto","Condo, Retail",Complete,2016,16,178
Canoe Landing Park,43.65382235,-79.35446185,"Fort York Boulevard and Dan Leckie Way, Toronto",Public Space,Complete,2011,0,0
88 Queen,43.6578072,-79.3544836,"88 Queen St E, Toronto","Condo, Hotel, Public Space, Retail",Pre-Construction,0,49,535
Scenic On Eglinton,43.7143865,-79.3546043,"35 Brian Peck Crescent, Toronto",Condo,Under Construction,2014,16,0
227 Gerrard Street East,43.6647757,-79.3553678,"227 Gerrard Street East, Toronto","Condo, Retail",Pre-Construction,0,7,88
Leaside Innovation Centre,43.7119113,-79.3561006,"154 Wicksteed Avenue, Toronto",Office,Pre-Construction,0,6,0
5 Defries,43.66023298,-79.35644897,"5 Defries St, Toronto",Condo,Pre-Construction,0,38,410
1001 Broadview Residences,43.68415025,-79.35658627,"995 Broadview Avenue, Toronto","Condo, Retail",Pre-Construction,0,10,127
Canary District Condominiums,43.652873,-79.356605,"455 Front St E, Toronto","Condo, Townhouse",Complete,2016,11,118
Gooderham,43.6500473,-79.3569862,"390 Cherry St, Toronto","Condo, Retail",Under Construction,2014,37,404
83 River Street,43.6599247,-79.3574294,"83 River Street, Toronto","Condo, Residential",Pre-Construction,0,38,0
28 River Street,43.6577698,-79.3574375,"28 River Street, Toronto","Condo, Retail",Pre-Construction,0,15,174
Pan Am Village in the West Don Lands,43.6528174,-79.3580659,"Front St E and Cherry St, Toronto","Condo, Institutional, Office, Public Space, Rental, Retail",Under Construction,"Summer, 2015",0,0
Aria,43.7732232,-79.3590697,"Buchan Ct, North York",Condo,Complete,2011,17,0
"Bartholomew, The",43.65414195,-79.35912191,"19 Sackville St., Toronto","Condo, Townhouse",Complete,0,13,0
Cherry Place,43.653335,-79.359323,"55 Eastern Ave, Toronto",Residential,Pre-Construction,0,29,312
Regent Park: Block 27,43.6609872,-79.3596314,"Dundas St. East and River St., Toronto","Rental, Residential",Under Construction,0,29,0
Regent Park: Daniels Artworks Tower,43.6609872,-79.3596314,"674 Dundas St E, Toronto","Condo, Retail",Pre-Construction,0,33,0
Regent Park: Daniels Artworks Tower,43.6609872,-79.3596314,"674 Dundas St E, Toronto","Condo, Retail",Pre-Construction,0,33,0
60 Mill,43.650827,-79.359759,"60 Mill Street, Toronto","Condo, Office, Retail",Pre-Construction,0,12,131
18 Eastern Avenue,43.653119,-79.360077,"18 Eastern Avenue, Toronto","Condo, Retail, Townhouse",Pre-Construction,0,12,0
